N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"59,400",200,+0.34%,100,"3,546,051","5,969,783",49.87,"12,416,831",9.01,13.92,
2,LG에너지솔루션,"592,000","3,000",+0.51%,500,"1,385,280","234,000",4.86,"362,345",983.39,10.68,
3,삼성바이오로직스,"871,000","1,000",+0.11%,"2,500","619,926","71,174",10.71,"24,640",115.84,8.21,
4,SK하이닉스,"84,500","1,800",+2.18%,"5,000","615,162","728,002",50.77,"3,021,195",5.36,16.84,
5,삼성SDI,"733,000","6,000",-0.81%,"5,000","504,044","68,765",46.72,"259,897",34.19,8.45,
6,LG화학,"690,000","7,000",+1.02%,"5,000","487,087","70,592",48.22,"228,063",24.33,18.47,
7,삼성전자우,"53,300",300,+0.57%,100,"438,599","822,887",71.54,"532,214",8.08,N/A,
8,현대차,"163,000","1,000",+0.62%,"5,000","348,279","213,668",28.99,"515,337",7.23,6.84,
9,NAVER,"174,000","5,000",+2.96%,100,"285,445","164,049",49.70,"1,241,854",28.38,106.72,
10,기아,"65,300",800,+1.24%,"5,000","264,702","405,363",36.88,"1,138,600",5.00,14.69,
11,셀트리온,"184,000","1,000",-0.54%,"1,000","259,057","140,792",21.61,"251,112",46.03,16.04,
12,삼성물산,"120,500",500,-0.41%,100,"225,199","186,887",16.83,"224,241",14.35,5.40,
13,카카오,"50,300",200,+0.40%,100,"223,997","445,322",27.31,"3,222,930",10.06,17.10,
14,POSCO홀딩스,"256,000","2,000",-0.78%,"5,000","216,502","84,571",52.80,"339,620",3.09,13.97,
15,현대모비스,"219,000",500,+0.23%,"5,000","206,484","94,285",36.39,"152,876",8.73,6.87,
16,KB금융,"47,100",400,-0.84%,"5,000","192,591","408,897",73.40,"1,055,421",4.16,9.80,
17,신한지주,"35,750",200,+0.56%,"5,000","183,374","512,934",61.58,"1,173,649",4.44,8.80,
